freq,unit,penscheme,na_item,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,MIO_EUR,S1P,F63_LS,SK	: 	: 	: 	243489 	: 	: 	377546 	: 	: 	321484 	: 	: 
A,MIO_EUR,S1P,F63_LS,UK	: 	: 	: 	9930760 e	: 	: 	10102622 e	: 	: 	: 	: 	: 
A,MIO_EUR,S1P,K5,AT	: 	: 	: 	0 	: 	: 	0 	: 	: 	0 d	: 	: 
A,MIO_EUR,S1P,K5,BE	: 	: 	: 	-20 	: 	: 	-87 	: 	: 	0 	: 	: 
A,MIO_EUR,S1P,K5,BG	: 	: 	: 	0 	1 	-2 	-20 	-24 	-26 	-33 	: 	: 
A,MIO_EUR,S1P,K5,CH	4181 	2981 	1551 	10932 	4013 	4500 	837 	2160 	1212 	4297 	: 	: 
A,MIO_EUR,S1P,K5,CY	: 	: 	: 	-3 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_EUR,S1P,K5,CZ	: 	: 	: 	-4 	-75541 	-12 	15262 	101100 	-45056 	-46628 	207537 	98890 
A,MIO_EUR,S1P,K5,DE	-35600 	: 	: 	-68410 	: 	: 	7284 	: 	: 	0 	: 	: 
A,MIO_EUR,S1P,K5,DK	: 	: 	: 	0 	: @C	: 	0 	: 	: 	-1744 	: 	: 
A,MIO_EUR,S1P,K5,EE	: 	: 	: 	91 	: 	: 	256 	: 	: 	65 	: 	: 
A,MIO_EUR,S1P,K5,EL	: 	: 	: 	0 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_EUR,S1P,K5,ES	: 	: 	: 	-600 	: 	: 	-735 	: 	: 	-68 	: 	: 
A,MIO_EUR,S1P,K5,FI	: 	: 	: 	143 	191 	182 	72 	22 	66 	250 	: 	: 
A,MIO_EUR,S1P,K5,FR	: 	: 	: 	0 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_EUR,S1P,K5,HR	: 	: 	: 	0 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_EUR,S1P,K5,HU	: 	: 	: 	0 	56051 	0 	0 	-3940 	0 	0 	: 	: 
A,MIO_EUR,S1P,K5,IE	: 	: 	: 	0 	: 	: 	5900 	: 	: 	7700 	: 	: 
A,MIO_EUR,S1P,K5,IS	: 	: 	: 	1093 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_EUR,S1P,K5,IT	: 	: 	: 	-1 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_EUR,S1P,K5,LT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,MIO_EUR,S1P,K5,LU	: 	: 	: 	0 	: 	: 	-4 	: 	: 	48 	: 	: 
A,MIO_EUR,S1P,K5,LV	: 	: 	: 	0 	174 	0 	-7 	-2739 	0 	0 	: 	: 
A,MIO_EUR,S1P,K5,MT	1676 	: 	: 	-1683 	: 	: 	267 	: 	: 	-1497 	: 	: 
A,MIO_EUR,S1P,K5,NL	34262 	19284 	37339 	57334 	33344 	-16575 	5057 	: 	: 	83365 	: 	: 
A,MIO_EUR,S1P,K5,NO	: 	: 	: 	883 	-16684 	343 	0 	-80093 	0 	0 	: 	: 
A,MIO_EUR,S1P,K5,PL	: 	: 	: 	81387 e	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S1P,K5,PT	: 	: 	: 	23 	: 	: 	-173 	: 	: 	207 	: 	: 
A,MIO_EUR,S1P,K5,RO	: 	: 	: 	: 	: 	: 	0 n	: 	: 	-11352 	: 	: 
A,MIO_EUR,S1P,K5,SE	1480 	1857 	2178 	1594 	-773 	-1685 	-1879 	2980 	1002 	2678 	: 	: 
A,MIO_EUR,S1P,K5,SI	: 	: 	: 	0 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_EUR,S1P,K5,SK	: 	: 	: 	961 	: 	: 	-9320 	: 	: 	-9845 	: 	: 
A,MIO_EUR,S1P,K5,UK	: 	: 	: 	-14448 e	: 	: 	-252481 e	: 	: 	: 	: 	: 
A,MIO_EUR,S1P,K7,AT	: 	: 	: 	833 	: 	: 	838 	: 	: 	1314 d	: 	: 
A,MIO_EUR,S1P,K7,BE	: 	: 	: 	1340 	: 	: 	-3315 	: 	: 	1680 	: 	: 
A,MIO_EUR,S1P,K7,BG	: 	: 	: 	0 	9831 	0 	0 	0 	0 	0 	: 	: 
A,MIO_EUR,S1P,K7,CH	7416 	13022 	10263 	12422 	277544 	10447 	7736 	14800 	9771 	13805 	: 	: 
A,MIO_EUR,S1P,K7,CY	: 	: 	: 	12 	: 	: 	-1 	: 	: 	122 	: 	: 
A,MIO_EUR,S1P,K7,CZ	: 	: 	: 	-771 	87940 	50105 	72888 	-24830 	38190 	6263 	-50342 	-64956 
A,MIO_EUR,S1P,K7,DE	28370 	: 	: 	-184367 	: 	: 	-174949 	: 	: 	-230336 	: 	: 
A,MIO_EUR,S1P,K7,DK	: 	: 	: 	5706 	: @C	: 	3438 	: 	: 	6807 	: 	: 
A,MIO_EUR,S1P,K7,EE	: 	: 	: 	-188 	: 	: 	-4192 	: 	: 	5148 	: 	: 
A,MIO_EUR,S1P,K7,EL	: 	: 	: 	96 	: 	: 	23 	: 	: 	63 	: 	: 
A,MIO_EUR,S1P,K7,ES	: 	: 	: 	1384 	: 	: 	-1186 	: 	: 	2246 	: 	: 
A,MIO_EUR,S1P,K7,FI	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 	: 	: 
A,MIO_EUR,S1P,K7,FR	: 	: 	: 	0 	: 	: 	0 	: 	: 	-338000 	: 	: 
A,MIO_EUR,S1P,K7,HR	: 	: 	: 	52 	: 	: 	-3 	: 	: 	812 	: 	: 
A,MIO_EUR,S1P,K7,HU	: 	: 	: 	0 	69917 	0 	0 	13179 	0 	0 	: 	: 
A,MIO_EUR,S1P,K7,IE	: 	: 	: 	1552 	: 	: 	-1862 	: 	: 	3419 	: 	: 
A,MIO_EUR,S1P,K7,IS	: 	: 	: 	0 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_EUR,S1P,K7,IT	: 	: 	: 	1186 	: 	: 	-2990 	: 	: 	6941 	: 	: 
A,MIO_EUR,S1P,K7,LT	: 	26 	64 	-5 	18671 	114 	-129 	532 	237 	958 	-848 	: 
A,MIO_EUR,S1P,K7,LU	: 	: 	: 	0 	: 	: 	211 	: 	: 	92 	: 	: 
A,MIO_EUR,S1P,K7,LV	: 	: 	: 	32 	9165 	99 	-184 	-2523 	96 	439 	: 	: 
A,MIO_EUR,S1P,K7,MT	0 	: 	: 	0 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_EUR,S1P,K7,NL	95214 	141 	150030 	-169247 	220797 	284237 	164539 	: 	: 	-196490 	: 	: 
A,MIO_EUR,S1P,K7,NO	: 	: 	: 	25083 	211873 	20322 	27720 	34910 	14319 	64934 	: 	: 
A,MIO_EUR,S1P,K7,PL	: 	: 	: 	-12651 e	: 	: 	-5027 	: 	: 	9092 	: 	: 
A,MIO_EUR,S1P,K7,PT	: 	: 	: 	0 	: 	: 	0 	: 	: 	-658 	: 	: 
A,MIO_EUR,S1P,K7,RO	: 	: 	: 	: 	: 	: 	8694 	: 	: 	-1049 	: 	: 
A,MIO_EUR,S1P,K7,SE	8247 e	21370 e	23653 e	5911 e	3693 e	18395 e	-10517 e	49904 e	14409 e	57541 e	: 	: 
A,MIO_EUR,S1P,K7,SI	: 	: 	: 	64 	: 	: 	-15 	: 	: 	147 	: 	: 
A,MIO_EUR,S1P,K7,SK	: 	: 	: 	-6332 	: 	: 	10524 	: 	: 	2450 	: 	: 
A,MIO_EUR,S1P,K7,UK	: 	: 	: 	-604743 e	: 	: 	-99098 e	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6111,AT	: 	: 	: 	1114 	: 	: 	1255 	: 	: 	1102 	: 	: 
A,MIO_NAC,S12P,D6111,BE	: 	: 	: 	4641 d	: 	: 	5498 d	: 	: 	5686 d	: 	: 
A,MIO_NAC,S12P,D6111,BG	: 	: 	: 	799 	845 	902 	993 	1116 	1169 	1323 	: 	: 
A,MIO_NAC,S12P,D6111,CH	21810 	21910 	22928 	23848 	23966 	24611 	25122 	26086 	28179 	29738 	: 	: 
A,MIO_NAC,S12P,D6111,CY	: 	: 	: 	164 	: 	: 	112 	: 	: 	155 	: 	: 
A,MIO_NAC,S12P,D6111,CZ	: 	7605 	: 	8005 	8362 	9266 	10423 	11375 	12409 	13653 	14116 	15174 
A,MIO_NAC,S12P,D6111,DE	33500 	: 	: 	32960 	: 	: 	33016 	: 	: 	32087 	: 	: 
A,MIO_NAC,S12P,D6111,DK	: 	: 	: 	15691 	: @C	: 	16328 	: 	: 	18603 	: 	: 
A,MIO_NAC,S12P,D6111,EE	: 	: 	: 	270 	: 	: 	271 	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6111,EL	: 	: 	: 	136 	: 	: 	128 	: 	: 	133 	: 	: 
A,MIO_NAC,S12P,D6111,ES	: 	: 	: 	2745 	: 	: 	2657 	: 	: 	3361 	: 	: 
A,MIO_NAC,S12P,D6111,FI	: 	: 	: 	290 	270 	255 	276 	344 	306 	287 	: 	: 
A,MIO_NAC,S12P,D6111,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6111,HR	: 	: 	: 	12 	: 	: 	13 	: 	: 	14 	: 	: 
A,MIO_NAC,S12P,D6111,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6111,IE	: 	: 	: 	3260 	: 	: 	3769 	: 	: 	4816 	: 	: 
A,MIO_NAC,S12P,D6111,IS	: 	: 	: 	57682 	: 	: 	123858 	: 	: 	147892 	: 	: 
A,MIO_NAC,S12P,D6111,IT	: 	: 	: 	7226 	: 	: 	8628 	: 	: 	8701 	: 	: 
A,MIO_NAC,S12P,D6111,LT	: 	137 e	91 e	98 e	102 e	112 e	115 e	0 	0 	0 	0 	: 
A,MIO_NAC,S12P,D6111,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	96 	: 	: 
A,MIO_NAC,S12P,D6111,LV	: 	: 	: 	234 	294 	339 	377 	419 	407 	430 	: 	: 
A,MIO_NAC,S12P,D6111,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6111,NL	18860 	20657 	20882 	16920 	16702 	15826 	15661 	: 	: 	19801 	: 	: 
A,MIO_NAC,S12P,D6111,NO	: 	: 	: 	48631 	46044 	47291 	49554 	53754 	53428 	63868 	: 	: 
A,MIO_NAC,S12P,D6111,PL	: 	: 	: 	2523 	: 	: 	1318 	: 	: 	1739 	: 	: 
A,MIO_NAC,S12P,D6111,PT	: 	: 	: 	300 	: 	: 	483 	: 	: 	516 	: 	: 
A,MIO_NAC,S12P,D6111,RO	: 	: 	: 	0 n	: 	: 	0 n	: 	: 	0 n	: 	: 
A,MIO_NAC,S12P,D6111,SE	159699 	167056 	177868 	186594 	194778 	200279 	225641 	228298 	239415 	253718 	: 	: 
A,MIO_NAC,S12P,D6111,SI	: 	: 	: 	78 	: 	: 	145 	: 	: 	177 	: 	: 
A,MIO_NAC,S12P,D6111,SK	: 	: 	: 	342 	: 	: 	469 	: 	: 	726 	: 	: 
A,MIO_NAC,S12P,D6111,UK	: 	: 	: 	43619 	: 	: 	52232 	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6121,AT	: 	: 	: 	1171 	: 	: 	1531 	: 	: 	1532 	: 	: 
A,MIO_NAC,S12P,D6121,BE	: 	: 	: 	0 d	: 	: 	0 d	: 	: 	0 d	: 	: 
A,MIO_NAC,S12P,D6121,BG	: 	: 	: 	: m	: m	: m	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6121,CH	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 	: 
A,MIO_NAC,S12P,D6121,CY	: 	: 	: 	-69 	: 	: 	22 	: 	: 	11 	: 	: 
A,MIO_NAC,S12P,D6121,CZ	: 	: 	: 	: m	: m	: m	: m	: m	: 	: 	: 	: 
A,MIO_NAC,S12P,D6121,DE	1270 	: 	: 	1340 	: 	: 	1389 	: 	: 	1479 	: 	: 
A,MIO_NAC,S12P,D6121,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,MIO_NAC,S12P,D6121,EE	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6121,EL	: 	: 	: 	0 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_NAC,S12P,D6121,ES	: 	: 	: 	-26 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_NAC,S12P,D6121,FI	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_NAC,S12P,D6121,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6121,HR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6121,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6121,IE	: 	: 	: 	-1094 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_NAC,S12P,D6121,IS	: 	: 	: 	0 	: 	: 	0 	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6121,IT	: 	: 	: 	0 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_NAC,S12P,D6121,LT	: 	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_NAC,S12P,D6121,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	84 	: 	: 
A,MIO_NAC,S12P,D6121,LV	: 	: 	: 	0 	0 	0 	0 	0 	1 	0 	: 	: 
A,MIO_NAC,S12P,D6121,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6121,NL	-684 	-653 	-438 	-365 	-344 	-279 	-110 	: 	: 	-94 	: 	: 
A,MIO_NAC,S12P,D6121,NO	: 	: 	: 	792 	2510 	2029 	2194 	3561 	4093 	7919 	: 	: 
A,MIO_NAC,S12P,D6121,PL	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6121,PT	: 	: 	: 	-13 	: 	: 	-186 	: 	: 	-85 	: 	: 
A,MIO_NAC,S12P,D6121,RO	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6121,SE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
A,MIO_NAC,S12P,D6121,SI	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6121,SK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6121,UK	: 	: 	: 	89186 	: 	: 	-7355 e	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6131,AT	: 	: 	: 	0 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_NAC,S12P,D6131,BE	: 	: 	: 	1086 d	: 	: 	1266 d	: 	: 	1301 d	: 	: 
A,MIO_NAC,S12P,D6131,BG	: 	: 	: 	438 	440 	503 	549 	591 	592 	719 	: 	: 
A,MIO_NAC,S12P,D6131,CH	17828 	18252 	19529 	21087 	20962 	21760 	22760 	23750 	22433 	22959 	: 	: 
A,MIO_NAC,S12P,D6131,CY	: 	: 	: 	92 	: 	: 	116 	: 	: 	121 	: 	: 
A,MIO_NAC,S12P,D6131,CZ	: 	40406 	: 	46663 	47400 	51439 	54531 	55557 	58932 	66994 	71153 	77309 
A,MIO_NAC,S12P,D6131,DE	51260 	: 	: 	53120 	: 	: 	58703 	: 	: 	63956 	: 	: 
A,MIO_NAC,S12P,D6131,DK	: 	: 	: 	8826 	: @C	: 	9185 	: 	: 	10464 	: 	: 
A,MIO_NAC,S12P,D6131,EE	: 	: 	: 	102 	: 	: 	118 	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6131,EL	: 	: 	: 	60 	: 	: 	65 	: 	: 	72 	: 	: 
A,MIO_NAC,S12P,D6131,ES	: 	: 	: 	351 	: 	: 	361 	: 	: 	332 	: 	: 
A,MIO_NAC,S12P,D6131,FI	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_NAC,S12P,D6131,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6131,HR	: 	: 	: 	670 	: 	: 	811 	: 	: 	976 	: 	: 
A,MIO_NAC,S12P,D6131,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6131,IE	: 	: 	: 	1166 	: 	: 	1562 	: 	: 	2266 	: 	: 
A,MIO_NAC,S12P,D6131,IS	: 	: 	: 	28331 	: 	: 	47888 	: 	: 	55116 	: 	: 
A,MIO_NAC,S12P,D6131,IT	: 	: 	: 	2577 	: 	: 	3136 	: 	: 	3796 	: 	: 
A,MIO_NAC,S12P,D6131,LT	: 	0 e	91 e	98 e	189 e	224 e	267 e	376 	418 	503 	614 	: 
A,MIO_NAC,S12P,D6131,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	40 	: 	: 
A,MIO_NAC,S12P,D6131,LV	: 	: 	: 	96 	130 	147 	165 	184 	177 	186 	: 	: 
A,MIO_NAC,S12P,D6131,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6131,NL	11231 	11087 	9901 	10266 	11083 	11193 	12349 	: 	: 	14655 	: 	: 
A,MIO_NAC,S12P,D6131,NO	: 	: 	: 	2088 	2141 	1594 	1581 	1513 	1704 	1665 	: 	: 
A,MIO_NAC,S12P,D6131,PL	: 	: 	: 	2417 	: 	: 	3052 	: 	: 	3489 	: 	: 
A,MIO_NAC,S12P,D6131,PT	: 	: 	: 	81 	: 	: 	66 	: 	: 	79 	: 	: 
A,MIO_NAC,S12P,D6131,RO	: 	: 	: 	4813 	: 	: 	7540 	: 	: 	9720 	: 	: 
A,MIO_NAC,S12P,D6131,SE	4453 	4333 	4425 	4590 	4725 	4763 	4772 	4645 	5043 	4980 	: 	: 
A,MIO_NAC,S12P,D6131,SI	: 	: 	: 	39 	: 	: 	42 	: 	: 	54 	: 	: 
A,MIO_NAC,S12P,D6131,SK	: 	: 	: 	112 	: 	: 	174 	: 	: 	245 	: 	: 
A,MIO_NAC,S12P,D6131,UK	: 	: 	: 	9627 	: 	: 	13279 	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6141,AT	: 	: 	: 	626 	: 	: 	618 	: 	: 	616 	: 	: 
A,MIO_NAC,S12P,D6141,BE	: 	: 	: 	2190 d	: 	: 	2165 d	: 	: 	2037 d	: 	: 
A,MIO_NAC,S12P,D6141,BG	: 	: 	: 	213 	513 	805 	-455 	979 	412 	943 	: 	: 
A,MIO_NAC,S12P,D6141,CH	14204 	14575 	17095 	16337 	14386 	16115 	14420 	17779 	15812 	16442 e	: 	: 
A,MIO_NAC,S12P,D6141,CY	: 	: 	: 	114 	: 	: 	71 	: 	: 	86 	: 	: 
A,MIO_NAC,S12P,D6141,CZ	: 	: 	: 	4474 	3909 	3107 	3000 	4081 	6298 	5144 	6183 	13214 
A,MIO_NAC,S12P,D6141,DE	27480 	: 	: 	24868 	: 	: 	28781 	: 	: 	32531 	: 	: 
A,MIO_NAC,S12P,D6141,DK	: 	: 	: 	17232 	: @C	: 	18857 	: 	: 	16017 	: 	: 
A,MIO_NAC,S12P,D6141,EE	: 	: 	: 	40 	: 	: 	75 	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6141,EL	: 	: 	: 	24 	: 	: 	26 	: 	: 	23 	: 	: 
A,MIO_NAC,S12P,D6141,ES	: 	: 	: 	900 	: 	: 	553 	: 	: 	339 	: 	: 
A,MIO_NAC,S12P,D6141,FI	: 	: 	: 	268 	235 	254 	250 	253 	184 	190 	: 	: 
A,MIO_NAC,S12P,D6141,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6141,HR	: 	: 	: 	547 	: 	: 	134 	: 	: 	324 	: 	: 
A,MIO_NAC,S12P,D6141,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6141,IE	: 	: 	: 	2503 	: 	: 	2174 	: 	: 	1607 	: 	: 
A,MIO_NAC,S12P,D6141,IS	: 	: 	: 	48120 	: 	: 	175415 	: 	: 	794800 	: 	: 
A,MIO_NAC,S12P,D6141,IT	: 	: 	: 	1171 	: 	: 	1110 	: 	: 	1097 	: 	: 
A,MIO_NAC,S12P,D6141,LT	: 	48 	82 	95 	67 	28 	29 	80 	22 	35 	42 	: 
A,MIO_NAC,S12P,D6141,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	181 	: 	: 
A,MIO_NAC,S12P,D6141,LV	: 	: 	: 	39 e	43 e	46 e	50 e	58 	49 	46 	: 	: 
A,MIO_NAC,S12P,D6141,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D6141,NL	21823 	23144 	24266 	27509 	27232 	25140 	24864 	: 	: 	24558 	: 	: 
A,MIO_NAC,S12P,D6141,NO	: 	: 	: 	20047 	20853 	22687 	22192 	24654 	25071 	29068 	: 	: 
A,MIO_NAC,S12P,D6141,PL	: 	: 	: 	4038 	: 	: 	4322 	: 	: 	4468 	: 	: 
A,MIO_NAC,S12P,D6141,PT	: 	: 	: 	386 	: 	: 	346 	: 	: 	186 	: 	: 
A,MIO_NAC,S12P,D6141,RO	: 	: 	: 	755 	: 	: 	343 	: 	: 	4532 	: 	: 
A,MIO_NAC,S12P,D6141,SE	64190 	70832 	97702 	81961 	89793 	77482 	98935 	129152 	100126 	119314 	: 	: 
A,MIO_NAC,S12P,D6141,SI	: 	: 	: 	48 	: 	: 	40 	: 	: 	21 	: 	: 
A,MIO_NAC,S12P,D6141,SK	: 	: 	: 	71 	: 	: 	61 	: 	: 	105 	: 	: 
A,MIO_NAC,S12P,D6141,UK	: 	: 	: 	56910 	: 	: 	48747 	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D61SC_P,AT	: 	: 	: 	80 	: 	: 	86 	: 	: 	95 	: 	: 
A,MIO_NAC,S12P,D61SC_P,BE	: 	: 	: 	593 d	: 	: 	815 d	: 	: 	943 d	: 	: 
A,MIO_NAC,S12P,D61SC_P,BG	: 	: 	: 	138 	141 	155 	155 	170 	178 	209 	: 	: 
A,MIO_NAC,S12P,D61SC_P,CH	4318 	3485 	3266 	3401 	3374 	4236 	4914 	3808 	4657 	4097 	: 	: 
A,MIO_NAC,S12P,D61SC_P,CY	: 	: 	: 	7 	: 	: 	6 	: 	: 	9 	: 	: 
A,MIO_NAC,S12P,D61SC_P,CZ	: 	: 	: 	2799 	3352 	3615 	3837 	4489 	4701 	5373 	5464 	6405 
A,MIO_NAC,S12P,D61SC_P,DE	2720 e	: 	: 	2620 e	: 	: 	2803 e	: 	: 	2731 e	: 	: 
A,MIO_NAC,S12P,D61SC_P,DK	: 	: 	: 	1958 	: @C	: 	2259 	: 	: 	2847 	: 	: 
A,MIO_NAC,S12P,D61SC_P,EE	: 	: 	: 	33 	: 	: 	39 	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D61SC_P,EL	: 	: 	: 	6 	: 	: 	8 	: 	: 	9 	: 	: 
A,MIO_NAC,S12P,D61SC_P,ES	: 	: 	: 	328 	: 	: 	266 	: 	: 	324 	: 	: 
A,MIO_NAC,S12P,D61SC_P,FI	: 	: 	: 	85 	88 	87 	35 	100 	104 	100 	: 	: 
A,MIO_NAC,S12P,D61SC_P,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D61SC_P,HR	: 	: 	: 	43 	: 	: 	46 	: 	: 	48 	: 	: 
A,MIO_NAC,S12P,D61SC_P,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D61SC_P,IE	: 	: 	: 	1008 	: 	: 	1115 	: 	: 	1412 	: 	: 
A,MIO_NAC,S12P,D61SC_P,IS	: 	: 	: 	5627 	: 	: 	5853 	: 	: 	7310 	: 	: 
A,MIO_NAC,S12P,D61SC_P,IT	: 	: 	: 	467 	: 	: 	528 	: 	: 	763 	: 	: 
A,MIO_NAC,S12P,D61SC_P,LT	: 	17 	19 	21 	23 	26 	30 	27 	26 	26 	28 	: 
A,MIO_NAC,S12P,D61SC_P,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	11 	: 	: 
A,MIO_NAC,S12P,D61SC_P,LV	: 	: 	: 	35 e	43 e	46 e	26 e	24 	27 	36 	: 	: 
A,MIO_NAC,S12P,D61SC_P,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D61SC_P,NL	5378 	5226 	5613 	8357 	8931 	7856 	8180 	: 	: 	9459 	: 	: 
A,MIO_NAC,S12P,D61SC_P,NO	: 	: 	: 	4073 	3737 	3630 	3931 	4011 	4317 	5036 	: 	: 
A,MIO_NAC,S12P,D61SC_P,PL	: 	: 	: 	85 	: 	: 	59 	: 	: 	68 	: 	: 
A,MIO_NAC,S12P,D61SC_P,PT	: 	: 	: 	46 	: 	: 	37 	: 	: 	53 	: 	: 
A,MIO_NAC,S12P,D61SC_P,RO	: 	: 	: 	0 n	: 	: 	0 n	: 	: 	0 n	: 	: 
A,MIO_NAC,S12P,D61SC_P,SE	11307 	12430 	13954 	14511 	14524 	16067 	17773 	16579 	17948 	20682 	: 	: 
A,MIO_NAC,S12P,D61SC_P,SI	: 	: 	: 	20 	: 	: 	28 	: 	: 	37 	: 	: 
A,MIO_NAC,S12P,D61SC_P,SK	: 	: 	: 	41 	: 	: 	38 	: 	: 	130 	: 	: 
A,MIO_NAC,S12P,D61SC_P,UK	: 	: 	: 	17814 	: 	: 	19676 	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D61_P,AT	: 	: 	: 	2831 	: 	: 	3319 	: 	: 	3154 	: 	: 
A,MIO_NAC,S12P,D61_P,BE	: 	: 	: 	7324 d	: 	: 	8115 d	: 	: 	8080 d	: 	: 
A,MIO_NAC,S12P,D61_P,BG	: 	: 	: 	1312 	1657 	2055 	931 	2517 	1996 	2776 	: 	: 
A,MIO_NAC,S12P,D61_P,CH	49524 	51252 	56285 	57872 	55939 	58249 	57387 	63807 	61767 	65042 	: 	: 
A,MIO_NAC,S12P,D61_P,CY	: 	: 	: 	294 	: 	: 	316 	: 	: 	364 	: 	: 
A,MIO_NAC,S12P,D61_P,CZ	: 	50774 	: 	56343 	56319 	60197 	64117 	66524 	72938 	80418 	85988 	99292 
A,MIO_NAC,S12P,D61_P,DE	110790 	: 	: 	109668 	: 	: 	119086 	: 	: 	127322 	: 	: 
A,MIO_NAC,S12P,D61_P,DK	: 	: 	: 	39791 	: @C	: 	42111 	: 	: 	42237 	: 	: 
A,MIO_NAC,S12P,D61_P,EE	: 	: 	: 	380 	: 	: 	424 	: 	: 	: 	: 	: 
A,MIO_NAC,S12P,D61_P,EL	: 	: 	: 	214 	: 	: 	212 	: 	: 	219 	: 	: 
A,MIO_NAC,S12P,D61_P,ES	: 	: 	: 	3642 	: 	: 	3305 	: 	: 	3708 	: 	: 
A,MIO_NAC,S12P,D61_P,FI	: 	: 	: 	473 	417 	422 	491 	497 	386 	377 	: 	: 
A,MIO_NAC,S12P,D61_P,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
